Name,Team,Number,Position,Age,Height,Weight,College,Salary,Country
Avery Bradley,Boston Celtics,0.0,PG,25.0,06-Feb,180,Texas,7730337.0,America
Jae Crowder,Boston Celtics,99.0,SF,25.0,06-Jun,235,Marquette,6796117.0,America
John Holland,Boston Celtics,30.0,SG,27.0,06-May,205,Boston University,,America
R.J. Hunter,Boston Celtics,28.0,SG,22.0,06-May,185,Georgia State,1148640.0,America
Jonas Jerebko,Boston Celtics,8.0,PF,29.0,06-Oct,231,,5000000.0,America
Amir Johnson,Boston Celtics,90.0,PF,29.0,06-Sep,240,,12000000.0,America
Jordan Mickey,Boston Celtics,,,,06-Aug,235,,1170960.0,America
Kelly Olynyk,Boston Celtics,41.0,C,25.0,7-0,238,Gonzaga,2165160.0,America
Terry Rozier,Boston Celtics,12.0,PG,22.0,06-Feb,190,Louisville,1824360.0,America
Marcus Smart,Boston Celtics,36.0,PG,22.0,06-Apr,220,Oklahoma State,3431040.0,America
Jared Sullinger,Boston Celtics,7.0,C,24.0,06-Sep,260,Ohio State,2569260.0,America
Isaiah Thomas,Boston Celtics,4.0,PG,27.0,05-Sep,185,Washington,6912869.0,America
Evan Turner,Boston Celtics,11.0,SG,27.0,06-Jul,220,Ohio State,3425510.0,America
James Young,Boston Celtics,13.0,SG,20.0,06-Jun,215,Kentucky,1749840.0,America
Tyler Zeller,Boston Celtics,44.0,C,26.0,7-0,253,North Carolina,2616975.0,America
Bojan Bogdanovic,Brooklyn Nets,44.0,SG,27.0,06-Aug,216,,3425510.0,America
Markel Brown,Brooklyn Nets,22.0,SG,24.0,06-Mar,190,Oklahoma State,845059.0,America
Wayne Ellington,Brooklyn Nets,21.0,SG,28.0,06-Apr,200,North Carolina,1500000.0,America
Rondae Hollis-Jefferson,Brooklyn Nets,24.0,SG,21.0,06-Jul,220,Arizona,1335480.0,America
Jarrett Jack,Brooklyn Nets,2.0,PG,32.0,06-Mar,200,Georgia Tech,6300000.0,America
Sergey Karasev,Brooklyn Nets,10.0,SG,22.0,06-Jul,208,,1599840.0,America
Sean Kilpatrick,Brooklyn Nets,6.0,SG,26.0,06-Apr,219,Cincinnati,134215.0,America
Shane Larkin,Brooklyn Nets,0.0,PG,23.0,05-Nov,175,Miami (FL),1500000.0,America
Brook Lopez,Brooklyn Nets,11.0,C,28.0,7-0,275,Stanford,19689000.0,America
Chris McCullough,Brooklyn Nets,1.0,PF,21.0,06-Nov,200,Syracuse,1140240.0,America
Willie Reed,Brooklyn Nets,33.0,PF,26.0,06-Oct,220,Saint Louis,947276.0,America
Thomas Robinson,Brooklyn Nets,41.0,PF,25.0,06-Oct,237,Kansas,981348.0,America
Henry Sims,Brooklyn Nets,14.0,C,26.0,06-Oct,248,Georgetown,947276.0,America
Donald Sloan,Brooklyn Nets,15.0,PG,28.0,06-Mar,205,Texas A&M,947276.0,America
Thaddeus Young,Brooklyn Nets,30.0,PF,27.0,06-Aug,221,Georgia Tech,11235955.0,America
Arron Afflalo,New York Knicks,4.0,SG,30.0,06-May,210,UCLA,8000000.0,America
Lou Amundson,New York Knicks,17.0,PF,33.0,06-Sep,220,UNLV,1635476.0,America
Thanasis Antetokounmpo,New York Knicks,43.0,SF,23.0,06-Jul,205,,30888.0,America
Carmelo Anthony,New York Knicks,7.0,SF,32.0,06-Aug,240,Syracuse,22875000.0,America
Jose Calderon,New York Knicks,3.0,PG,34.0,06-Mar,200,,7402812.0,America
Cleanthony Early,New York Knicks,11.0,SF,25.0,06-Aug,210,Wichita State,845059.0,America
Langston Galloway,New York Knicks,2.0,SG,24.0,06-Feb,200,Saint Joseph's,845059.0,America
Jerian Grant,New York Knicks,13.0,PG,23.0,06-Apr,195,Notre Dame,1572360.0,America
Robin Lopez,New York Knicks,8.0,C,28.0,7-0,255,Stanford,12650000.0,America
Kyle O'Quinn,New York Knicks,9.0,PF,26.0,06-Oct,250,Norfolk State,3750000.0,America
Kristaps Porzingis,New York Knicks,6.0,PF,20.0,07-Mar,240,,4131720.0,America
Kevin Seraphin,New York Knicks,1.0,C,26.0,06-Oct,278,,2814000.0,America
Lance Thomas,New York Knicks,42.0,SF,28.0,06-Aug,235,Duke,1636842.0,America
Sasha Vujacic,New York Knicks,18.0,SG,32.0,06-Jul,195,,947276.0,America
Derrick Williams,New York Knicks,23.0,PF,25.0,06-Aug,240,Arizona,4000000.0,America
Tony Wroten,New York Knicks,5.0,SG,23.0,06-Jun,205,Washington,167406.0,America
Elton Brand,Philadelphia 76ers,42.0,PF,37.0,06-Sep,254,Duke,,America
Isaiah Canaan,Philadelphia 76ers,0.0,PG,25.0,6-0,201,Murray State,947276.0,America
Robert Covington,Philadelphia 76ers,33.0,SF,25.0,06-Sep,215,Tennessee State,1000000.0,America
Joel Embiid,Philadelphia 76ers,21.0,C,22.0,7-0,250,Kansas,4626960.0,America
